Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	RNA-seqG
Chr1:13831658-14075586	1	13831658	14075586	+	null					Not found	0	1.3231754
Chr1:14402996-14404840	1	14402996	14404840	+	null					Not found	0	0.4174505
Chr1:14406032-14412579	1	14406032	14412579	+	null					Not found	0	0.23556936
Chr1:15062338-15080907	1	15062338	15080907	-	null					Not found	0	1.1116289
Chr1:15298648-15300874	1	15298648	15300874	+	null					Not found	0	1.4897926
Chr1:15311866-15374622	1	15311866	15374622	+	null					Not found	0	0.09164045
Chr1:15412067-15614425	1	15412067	15614425	-	null					Not found	0	0.14593838
Chr1:15642207-15739852	1	15642207	15739852	-	null					Not found	0	0.21443969
Chr1:15740144-15748142	1	15740144	15748142	-	null					Not found	0	1.3287015
Chr1:15797975-15800032	1	15797975	15800032	+	null					Not found	0	7.544532
Chr1:15799854-15828954	1	15799854	15828954	-	null					Not found	0	8.115051
Chr1:15835910-15837833	1	15835910	15837833	-	null					Not found	0	0.4728935
Chr1:15840358-15845077	1	15840358	15845077	-	null					Not found	0	0.41601208
Chr1:15846176-15850286	1	15846176	15850286	-	null					Not found	0	0.5635943
Chr1:15890649-15974690	1	15890649	15974690	+	null					Not found	0	0.21229227
Chr1:16109293-16204000	1	16109293	16204000	+	null					Not found	0	0.18031864
Chr1:16472324-16601723	1	16472324	16601723	-	null					Not found	0	1.4433738
Chr1:16819141-16902065	1	16819141	16902065	-	null					Not found	0	1.3910873
Chr1:16902878-16904325	1	16902878	16904325	-	null					Not found	0	1.4159737
Chr1:16904985-16906843	1	16904985	16906843	-	null					Not found	0	1.2645459
Chr1:17445082-17560505	1	17445082	17560505	+	null					Not found	0	0.62764233
Chr1:17602324-17629253	1	17602324	17629253	-	null					Not found	0	0.116364
Chr1:17740086-17913863	1	17740086	17913863	+	null					Not found	0	0.1775263
Chr1:19227279-19376149	1	19227279	19376149	+	null					Not found	0	0.12102483
Chr1:19638130-19639134	1	19638130	19639134	+	null					Not found	0	0.25475296
Chr1:19998851-20099052	1	19998851	20099052	-	null					Not found	0	0.48810974
Chr1:20332030-20415931	1	20332030	20415931	-	null					Not found	0	0.59640384
Chr1:20417492-20421352	1	20417492	20421352	-	null					Not found	0	1.3930788
Chr1:20422905-20424222	1	20422905	20424222	-	null					Not found	0	1.626275
Chr1:20427351-20428508	1	20427351	20428508	-	null					Not found	0	1.4343696
Chr1:20881859-20962541	1	20881859	20962541	+	null					Not found	0	0.570056
Chr1:21142172-21265684	1	21142172	21265684	-	null					Not found	0	0.57780045
Chr1:21145641-21146769	1	21145641	21146769	+	null					Not found	0	2.6650515
Chr1:21539774-21586886	1	21539774	21586886	+	null					Not found	0	1.089063
Chr1:22249430-22281844	1	22249430	22281844	+	null					Not found	0	1.3814372
Chr1:22706032-22748379	1	22706032	22748379	+	null					Not found	0	0.202059
Chr1:22758229-22760366	1	22758229	22760366	-	null					Not found	0	26.317417
Chr1:23977686-24003971	1	23977686	24003971	-	null					Not found	0	2.2258813
Chr1:24185485-24302284	1	24185485	24302284	+	null					Not found	0	0.6101758
Chr1:24976628-24978471	1	24976628	24978471	-	null					Not found	0	0.24670474
Chr1:25173089-25299095	1	25173089	25299095	-	null					Not found	0	0.47733253
Chr1:25299266-25302135	1	25299266	25302135	-	null					Not found	0	5.4741225
Chr1:27288715-27290093	1	27288715	27290093	-	null					Not found	0	0.869999
Chr1:27476374-27562256	1	27476374	27562256	-	null					Not found	0	0.1132083
Chr1:27938251-27939765	1	27938251	27939765	-	null					Not found	0	0.96787786
Chr1:28126276-28161515	1	28126276	28161515	-	null					Not found	0	2.9100552
Chr1:28301860-28400364	1	28301860	28400364	-	null					Not found	0	0.8107764
Chr1:28455063-28576503	1	28455063	28576503	-	null					Not found	0	0.1288117
Chr1:28567414-28600058	1	28567414	28600058	+	null					Not found	0	0.64757824
Chr1:29193471-29199368	1	29193471	29199368	-	null					Not found	0	0.11480086
Chr1:29225288-29386635	1	29225288	29386635	-	null					Not found	0	0.596846
Chr1:29413440-29425192	1	29413440	29425192	-	null					Not found	0	1.1817342
Chr1:29440811-29443412	1	29440811	29443412	-	null					Not found	0	0.22281438
Chr1:29444806-29457460	1	29444806	29457460	-	null					Not found	0	0.106172375
Chr1:29460735-29471716	1	29460735	29471716	-	null					Not found	0	0.11752989
Chr1:29480322-29481425	1	29480322	29481425	-	null					Not found	0	0.28365642
Chr1:29915543-29919859	1	29915543	29919859	-	null					Not found	0	0.30535564
Chr1:30681694-30766758	1	30681694	30766758	-	null					Not found	0	0.22060925
Chr1:30856975-30874224	1	30856975	30874224	-	null					Not found	0	2.7223656
Chr1:30874341-30918204	1	30874341	30918204	+	null					Not found	0	0.7336558
Chr1:30875351-30878163	1	30875351	30878163	-	null					Not found	0	3.926456
Chr1:31029004-31125029	1	31029004	31125029	+	null					Not found	0	4.7374816
Chr1:31533450-31545527	1	31533450	31545527	+	null					Not found	0	3.8182275
Chr1:31545655-31571199	1	31545655	31571199	-	null					Not found	0	4.64708
Chr1:31576228-31591840	1	31576228	31591840	-	null					Not found	0	2.7302501
Chr1:31700939-31734253	1	31700939	31734253	-	null					Not found	0	2.307795
Chr1:31866755-31890734	1	31866755	31890734	+	null					Not found	0	3.2764165
Chr1:31939624-31967830	1	31939624	31967830	+	null					Not found	0	1.8285444
Chr1:31968024-31986986	1	31968024	31986986	-	null					Not found	0	0.37692294
Chr1:32058066-32082884	1	32058066	32082884	-	null					Not found	0	0.5962677
Chr1:32083041-32084827	1	32083041	32084827	-	null					Not found	0	2.8678045
Chr1:32091227-32092420	1	32091227	32092420	+	null					Not found	0	0.26227528
Chr1:32103836-32105536	1	32103836	32105536	+	null					Not found	0	0.29978693
Chr1:32114943-32118903	1	32114943	32118903	+	null					Not found	0	0.12500027
Chr1:32281235-32297021	1	32281235	32297021	+	null					Not found	0	5.278081
Chr1:32379441-32429913	1	32379441	32429913	+	null					Not found	0	1.4175048
Chr1:35280512-35319993	1	35280512	35319993	-	null					Not found	0	4.3323855
Chr1:36107251-36112906	1	36107251	36112906	+	null					Not found	0	3.3860013
Chr1:36185936-36226532	1	36185936	36226532	-	null					Not found	0	3.230201
Chr1:36297420-36319858	1	36297420	36319858	+	null					Not found	0	2.0373743
Chr1:36320494-36354668	1	36320494	36354668	-	null					Not found	0	0.36746177
Chr1:36399788-36433204	1	36399788	36433204	-	null					Not found	0	1.7520305
Chr1:36760418-36762294	1	36760418	36762294	-	null					Not found	0	0.3629874
Chr1:36954533-36955876	1	36954533	36955876	+	null					Not found	0	1.3193035
Chr1:37043184-37059782	1	37043184	37059782	-	null					Not found	0	0.16596977
Chr1:37507275-37698359	1	37507275	37698359	-	null					Not found	0	0.25373143
Chr1:37702053-37725869	1	37702053	37725869	+	null					Not found	0	0.37579697
Chr1:37734419-37742983	1	37734419	37742983	+	null					Not found	0	1.7522762
Chr1:37743481-37774005	1	37743481	37774005	-	null					Not found	0	0.3058991
Chr1:37836893-37863791	1	37836893	37863791	+	null					Not found	0	0.80195695
Chr1:37876654-37888876	1	37876654	37888876	+	null					Not found	0	1.0935358
Chr1:37895143-37908002	1	37895143	37908002	+	null					Not found	0	0.31886932
Chr1:37911067-37924854	1	37911067	37924854	+	null					Not found	0	0.5589058
Chr1:37925853-37938002	1	37925853	37938002	+	null					Not found	0	1.499258
Chr1:37947152-37948415	1	37947152	37948415	+	null					Not found	0	0.98263216
Chr1:37948535-37965978	1	37948535	37965978	+	null					Not found	0	1.1963629
Chr1:37977350-37981504	1	37977350	37981504	+	null					Not found	0	2.8619711
Chr1:37982861-38009408	1	37982861	38009408	+	null					Not found	0	0.1150894
Chr1:38525889-38543363	1	38525889	38543363	+	null					Not found	0	0.67770094
Chr1:38581968-38586543	1	38581968	38586543	+	null					Not found	0	0.7638779
Chr1:38815919-38817374	1	38815919	38817374	+	null					Not found	0	0.2703034
Chr1:38821178-38828508	1	38821178	38828508	+	null					Not found	0	0.049066566
Chr1:39007849-39033452	1	39007849	39033452	+	null					Not found	0	0.3006456
Chr1:39061344-39064038	1	39061344	39064038	+	null					Not found	0	1.2200909
Chr1:39066487-39073519	1	39066487	39073519	+	null					Not found	0	0.21511236
Chr1:39811392-39923005	1	39811392	39923005	-	null					Not found	0	0.6383941
Chr1:40353753-40521131	1	40353753	40521131	-	null					Not found	0	0.20008983
Chr1:40529062-40719228	1	40529062	40719228	-	null					Not found	0	0.2929427
Chr1:40816117-40906575	1	40816117	40906575	-	null					Not found	0	0.6941737
Chr1:40914227-40921406	1	40914227	40921406	+	null					Not found	0	1.418376
Chr1:40934466-40939115	1	40934466	40939115	-	null					Not found	0	1.8979605
Chr1:40939346-40941381	1	40939346	40941381	-	null					Not found	0	1.5827856
Chr1:40948851-40982583	1	40948851	40982583	+	null					Not found	0	1.1836325
Chr1:40982888-41006277	1	40982888	41006277	-	null					Not found	0	0.35949892
Chr1:41608417-42086577	1	41608417	42086577	+	null					Not found	0	0.42358208
Chr1:42169621-42177507	1	42169621	42177507	-	null					Not found	0	0.33534986
Chr1:42461396-42467515	1	42461396	42467515	+	null					Not found	0	0.60988384
Chr1:42474033-42485984	1	42474033	42485984	+	null					Not found	0	0.948377
Chr1:42487398-42587691	1	42487398	42587691	+	null					Not found	0	0.65114427
Chr1:43475509-43530301	1	43475509	43530301	-	null					Not found	0	0.29970402
Chr1:43531148-43537315	1	43531148	43537315	-	null					Not found	0	2.4960213
Chr1:43563521-43638083	1	43563521	43638083	+	null					Not found	0	0.29211962
Chr1:43793712-43795398	1	43793712	43795398	+	null					Not found	0	0.19315484
Chr1:43797148-43798520	1	43797148	43798520	+	null					Not found	0	0.42534223
Chr1:43805544-43824854	1	43805544	43824854	+	null					Not found	0	0.09269697
Chr1:44018961-44170987	1	44018961	44170987	-	null					Not found	0	0.9618365
Chr1:44299599-44433435	1	44299599	44433435	-	null					Not found	0	0.77309453
Chr1:44429275-44474552	1	44429275	44474552	+	null					Not found	0	0.8359388
Chr1:45883459-45885584	1	45883459	45885584	-	null					Not found	0	1.1933172
Chr1:45887346-45888580	1	45887346	45888580	-	null					Not found	0	0.9149013
Chr1:45923222-46015633	1	45923222	46015633	-	null					Not found	0	0.3227738
Chr1:46130649-46234821	1	46130649	46234821	-	null					Not found	0	1.9733155
Chr1:46296587-46300027	1	46296587	46300027	+	null					Not found	0	1.8754916
Chr1:46300161-46301200	1	46300161	46301200	+	null					Not found	0	2.7771494
Chr1:46301333-46329656	1	46301333	46329656	+	null					Not found	0	0.747192
Chr1:46367119-46378665	1	46367119	46378665	+	null					Not found	0	1.0662993
Chr1:46378817-46379904	1	46378817	46379904	-	null					Not found	0	4.2104545
Chr1:46544370-46649275	1	46544370	46649275	-	null					Not found	0	0.22360139
Chr1:46780140-46827138	1	46780140	46827138	-	null					Not found	0	0.43931106
Chr1:46873163-46924713	1	46873163	46924713	-	null					Not found	0	0.12695295
Chr1:46929405-46931324	1	46929405	46931324	-	null					Not found	0	0.22151074
Chr1:46931876-46933911	1	46931876	46933911	-	null					Not found	0	1.6773578
Chr1:46934848-46938493	1	46934848	46938493	+	null					Not found	0	2.51868
Chr1:46942262-46978239	1	46942262	46978239	+	null					Not found	0	0.5485357
Chr1:46978384-46984230	1	46978384	46984230	-	null					Not found	0	5.524127
Chr1:47003974-47131545	1	47003974	47131545	-	null					Not found	0	3.5934806
Chr1:47149173-47205044	1	47149173	47205044	-	null					Not found	0	2.327319
Chr1:47205040-47206269	1	47205040	47206269	+	null					Not found	0	1.825199
Chr1:47206474-47213741	1	47206474	47213741	+	null					Not found	0	5.877015
Chr1:47287565-47331010	1	47287565	47331010	+	null					Not found	0	0.8054399
Chr1:47440542-47477116	1	47440542	47477116	+	null					Not found	0	0.15376964
Chr1:47644818-47647611	1	47644818	47647611	-	null					Not found	0	0.112839155
Chr1:47912249-47913490	1	47912249	47913490	+	null					Not found	0	5.410767
Chr1:47913704-47921684	1	47913704	47921684	+	null					Not found	0	9.858226
Chr1:47942472-47967630	1	47942472	47967630	-	null					Not found	0	3.366521
Chr1:47968801-47972484	1	47968801	47972484	+	null					Not found	0	4.6224084
Chr1:47972341-48025619	1	47972341	48025619	-	null					Not found	0	2.0517058
Chr1:48025253-48033425	1	48025253	48033425	+	null					Not found	0	14.634382
Chr1:48033764-48038730	1	48033764	48038730	-	null					Not found	0	2.4362726
Chr1:48097381-48108379	1	48097381	48108379	-	null					Not found	0	0.552691
Chr1:48122117-48125036	1	48122117	48125036	+	null					Not found	0	2.5876584
Chr1:48125147-48126510	1	48125147	48126510	+	null					Not found	0	2.3455105
Chr1:48127459-48129198	1	48127459	48129198	+	null					Not found	0	0.8670422
Chr1:48129319-48130784	1	48129319	48130784	+	null					Not found	0	0.42433935
Chr1:48131787-48133883	1	48131787	48133883	+	null					Not found	0	0.3733389
Chr1:48136595-48137746	1	48136595	48137746	+	null					Not found	0	0.39673564
Chr1:48138170-48139408	1	48138170	48139408	+	null					Not found	0	0.3637544
Chr1:48141411-48142772	1	48141411	48142772	+	null					Not found	0	0.34643975
Chr1:48149387-48151080	1	48149387	48151080	+	null					Not found	0	0.31226733
Chr1:48151349-48152746	1	48151349	48152746	+	null					Not found	0	0.34659976
Chr1:48153625-48155747	1	48153625	48155747	+	null					Not found	0	0.32491335
Chr1:48157900-48159358	1	48157900	48159358	+	null					Not found	0	0.4147732
Chr1:48161530-48163954	1	48161530	48163954	+	null					Not found	0	0.33680266
Chr1:48164774-48168352	1	48164774	48168352	+	null					Not found	0	0.32161564
Chr1:48168462-48170660	1	48168462	48170660	+	null					Not found	0	0.37334165
Chr1:48170770-48172492	1	48170770	48172492	+	null					Not found	0	0.35490534
Chr1:48173059-48174528	1	48173059	48174528	+	null					Not found	0	0.40879065
Chr1:48176068-48264426	1	48176068	48264426	-	null					Not found	0	1.6830115
Chr1:48176213-48185152	1	48176213	48185152	+	null					Not found	0	0.8731143
Chr1:48185337-48191125	1	48185337	48191125	+	null					Not found	0	0.92729276
Chr1:48191246-48194235	1	48191246	48194235	+	null					Not found	0	1.3601354
Chr1:48194341-48200644	1	48194341	48200644	+	null					Not found	0	1.3214452
Chr1:48200948-48204881	1	48200948	48204881	+	null					Not found	0	1.3957349
Chr1:48485007-48507713	1	48485007	48507713	-	null					Not found	0	0.047337346
Chr1:48625718-48711613	1	48625718	48711613	-	null					Not found	0	0.5927818
Chr1:48715295-48716996	1	48715295	48716996	+	null					Not found	0	1.4620012
Chr1:48717103-48825405	1	48717103	48825405	+	null					Not found	0	0.7643879
Chr1:48878199-48891114	1	48878199	48891114	+	null					Not found	0	0.67871404
Chr1:49618154-49681953	1	49618154	49681953	+	null					Not found	0	0.109145835
Chr1:50828473-50864603	1	50828473	50864603	-	null					Not found	0	0.18189527
Chr1:51055550-51059850	1	51055550	51059850	-	null					Not found	0	31.129805
Chr1:51059957-51068293	1	51059957	51068293	-	null					Not found	0	2.2382545
Chr1:52164933-52166606	1	52164933	52166606	-	null					Not found	0	0.845611
Chr1:52355927-52544514	1	52355927	52544514	+	null					Not found	0	1.4133945
Chr1:52741261-52742544	1	52741261	52742544	+	null					Not found	0	1.1963866
Chr1:52759751-52760834	1	52759751	52760834	+	null					Not found	0	1.3546594
Chr1:52761453-52762504	1	52761453	52762504	+	null					Not found	0	1.2852424
Chr1:52762986-52766404	1	52762986	52766404	+	null					Not found	0	1.3571863
Chr1:52767100-52768192	1	52767100	52768192	+	null					Not found	0	1.2273518
Chr1:52768298-52769687	1	52768298	52769687	+	null					Not found	0	1.4065562
Chr1:52770815-52771845	1	52770815	52771845	+	null					Not found	0	1.2785842
Chr1:52772965-52773966	1	52772965	52773966	+	null					Not found	0	1.3831636
Chr1:52774295-52776041	1	52774295	52776041	+	null					Not found	0	1.2523553
Chr1:52777567-52779105	1	52777567	52779105	+	null					Not found	0	1.480734
Chr1:52779867-52781059	1	52779867	52781059	+	null					Not found	0	1.4047036
Chr1:52781697-52783797	1	52781697	52783797	+	null					Not found	0	1.4552639
Chr1:52784066-52785270	1	52784066	52785270	+	null					Not found	0	1.346816
Chr1:52785851-52789180	1	52785851	52789180	+	null					Not found	0	1.5986977
Chr1:52789324-52791871	1	52789324	52791871	+	null					Not found	0	1.4690222
Chr1:52792171-52794132	1	52792171	52794132	+	null					Not found	0	1.6985624
Chr1:52794233-52796303	1	52794233	52796303	+	null					Not found	0	1.6776177
Chr1:52796414-52797974	1	52796414	52797974	+	null					Not found	0	1.9193771
Chr1:52798102-52805457	1	52798102	52805457	+	null					Not found	0	1.9712375
Chr1:52805684-52807063	1	52805684	52807063	+	null					Not found	0	2.85343
Chr1:52989091-52992323	1	52989091	52992323	+	null					Not found	0	5.890291
Chr1:52998556-53014416	1	52998556	53014416	+	null					Not found	0	1.7369223
Chr1:53026608-53038268	1	53026608	53038268	+	null					Not found	0	5.383892
Chr1:53122337-53152763	1	53122337	53152763	+	null					Not found	0	0.86578524
Chr1:53174964-53192008	1	53174964	53192008	-	null					Not found	0	0.25919908
Chr1:53360179-53499406	1	53360179	53499406	-	null					Not found	0	0.55388963
Chr1:53713880-53796212	1	53713880	53796212	+	null					Not found	0	2.3446498
Chr1:53796648-53841203	1	53796648	53841203	+	null					Not found	0	0.5404732
Chr1:53860994-53893302	1	53860994	53893302	-	null					Not found	0	0.1157867
Chr1:54422630-54455843	1	54422630	54455843	+	null					Not found	0	1.2625209
Chr1:56160692-56163435	1	56160692	56163435	+	null					Not found	0	0.64696056
Chr1:56808522-56940412	1	56808522	56940412	+	null					Not found	0	0.33343711
Chr1:56941666-56942852	1	56941666	56942852	+	null					Not found	0	0.42247164
Chr1:56945874-56948492	1	56945874	56948492	+	null					Not found	0	0.45970234
Chr1:56949768-56952429	1	56949768	56952429	-	null					Not found	0	7.5527816
Chr1:56951539-56967781	1	56951539	56967781	+	null					Not found	0	5.272288
Chr1:56982824-57002092	1	56982824	57002092	-	null					Not found	0	1.0378116
Chr1:57318762-57327175	1	57318762	57327175	+	null					Not found	0	2.6923077
Chr1:57328431-57330262	1	57328431	57330262	-	null					Not found	0	1.1607549
Chr1:57345657-57392106	1	57345657	57392106	-	null					Not found	0	2.4244976
Chr1:57469487-57489723	1	57469487	57489723	+	null					Not found	0	4.5499096
Chr1:57491401-57509667	1	57491401	57509667	-	null					Not found	0	1.0920746
Chr1:57511077-57515814	1	57511077	57515814	-	null					Not found	0	2.9246902
Chr1:57512783-57518414	1	57512783	57518414	+	null					Not found	0	3.0363803
Chr1:57515956-57517191	1	57515956	57517191	-	null					Not found	0	4.5947723
Chr1:57555293-57564229	1	57555293	57564229	-	null					Not found	0	0.34945765
Chr1:57690956-57744248	1	57690956	57744248	-	null					Not found	0	0.9753981
Chr1:57746842-57750306	1	57746842	57750306	-	null					Not found	0	0.2656354
Chr1:57751141-57757716	1	57751141	57757716	-	null					Not found	0	1.9412053
Chr1:57794046-57819877	1	57794046	57819877	+	null					Not found	0	6.040113
Chr1:59130013-59146774	1	59130013	59146774	-	null					Not found	0	1.06137
Chr1:59156233-59214461	1	59156233	59214461	-	null					Not found	0	0.60771614
Chr1:59347632-59385031	1	59347632	59385031	+	null					Not found	0	0.27071375
Chr1:59505250-59508159	1	59505250	59508159	-	null					Not found	0	0.94743925
Chr1:59701340-59715777	1	59701340	59715777	-	null					Not found	0	1.2972817
Chr1:60717305-60742372	1	60717305	60742372	-	null					Not found	0	18.351255
Chr1:60871859-60894787	1	60871859	60894787	-	null					Not found	0	1.0485029
Chr1:61245324-61248015	1	61245324	61248015	-	null					Not found	0	3.2006092
Chr1:61258802-61277005	1	61258802	61277005	-	null					Not found	0	0.36985654
Chr1:61348389-61349733	1	61348389	61349733	-	null					Not found	0	0.44835553
Chr1:61374406-61376386	1	61374406	61376386	-	null					Not found	0	1.8798714
Chr1:61376538-61378046	1	61376538	61378046	-	null					Not found	0	0.57069635
Chr1:61401835-61426329	1	61401835	61426329	-	null					Not found	0	0.18399334
Chr1:61430845-61456645	1	61430845	61456645	-	null					Not found	0	0.6609954
Chr1:61519992-61533647	1	61519992	61533647	-	null					Not found	0	0.9922652
Chr1:61700900-61702070	1	61700900	61702070	-	null					Not found	0	0.70289856
Chr1:61703441-61705758	1	61703441	61705758	-	null					Not found	0	0.6334991
Chr1:61705916-61712209	1	61705916	61712209	-	null					Not found	0	0.52007204
Chr1:61712413-61715957	1	61712413	61715957	-	null					Not found	0	0.38558152
Chr1:61716077-61718607	1	61716077	61718607	-	null					Not found	0	1.3568327
Chr1:61724513-61741781	1	61724513	61741781	-	null					Not found	0	1.5810919
Chr1:62101331-62106884	1	62101331	62106884	+	null					Not found	0	1.9189605
Chr1:62107015-62134365	1	62107015	62134365	+	null					Not found	0	1.5319964
Chr1:62134664-62174969	1	62134664	62174969	-	null					Not found	0	0.4661163
Chr1:62177997-62208097	1	62177997	62208097	+	null					Not found	0	0.19787796
Chr1:62231118-62267497	1	62231118	62267497	+	null					Not found	0	0.96373975
Chr1:62311009-62381309	1	62311009	62381309	+	null					Not found	0	0.3825162
Chr1:62526151-62527190	1	62526151	62527190	+	null					Not found	0	0.6775024
Chr1:62532595-62577675	1	62532595	62577675	+	null					Not found	0	1.4001019
Chr1:63833721-63834889	1	63833721	63834889	-	null					Not found	0	6.2482185
Chr1:64020938-64092725	1	64020938	64092725	+	null					Not found	0	0.14642987
Chr1:64031863-64032983	1	64031863	64032983	-	null					Not found	0	2.8614986
Chr1:64126936-64128435	1	64126936	64128435	-	null					Not found	0	0.7828917
Chr1:64129171-64130972	1	64129171	64130972	-	null					Not found	0	1.797713
Chr1:64130877-64147075	1	64130877	64147075	+	null					Not found	0	1.8779327
Chr1:64151347-64162415	1	64151347	64162415	+	null					Not found	0	1.6797018
Chr1:64162578-64172294	1	64162578	64172294	-	null					Not found	0	1.5120894
Chr1:64172357-64175089	1	64172357	64175089	+	null					Not found	0	7.8001933
Chr1:64323034-64327188	1	64323034	64327188	+	null					Not found	0	10.364205
Chr1:64327337-64329680	1	64327337	64329680	+	null					Not found	0	9.653449
Chr1:64329837-64354108	1	64329837	64354108	+	null					Not found	0	2.5005417
Chr1:64374556-64405371	1	64374556	64405371	+	null					Not found	0	1.9019004
Chr1:64407269-64433682	1	64407269	64433682	+	null					Not found	0	2.3113825
Chr1:64438524-64448275	1	64438524	64448275	+	null					Not found	0	2.1512902
Chr1:64720011-64732286	1	64720011	64732286	-	null					Not found	0	1.5633289
Chr1:64747556-64749177	1	64747556	64749177	-	null					Not found	0	1.4610568
Chr1:64818629-64830060	1	64818629	64830060	+	null					Not found	0	0.25153428
Chr1:65154292-65166086	1	65154292	65166086	+	null					Not found	0	0.39412326
Chr1:65521076-65533212	1	65521076	65533212	-	null					Not found	0	2.5060887
Chr1:65537686-65543699	1	65537686	65543699	-	null					Not found	0	15.252311
Chr1:65544365-65551321	1	65544365	65551321	+	null					Not found	0	22.918703
Chr1:65551538-65552688	1	65551538	65552688	-	null					Not found	0	1.5442013
Chr1:65564171-65568685	1	65564171	65568685	-	null					Not found	0	3.3226793
Chr1:65568905-65570498	1	65568905	65570498	-	null					Not found	0	1.8384906
Chr1:65595503-65601969	1	65595503	65601969	+	null					Not found	0	2.1676192
Chr1:65602703-65612168	1	65602703	65612168	+	null					Not found	0	3.3603082
Chr1:65660472-65664736	1	65660472	65664736	+	null					Not found	0	18.284258
Chr1:65674153-65687455	1	65674153	65687455	+	null					Not found	0	0.88292044
