seqnames	start	end	strand	gene_name
1	52998529	53014466	-	Sft2d1
1	53026608	53038229	-	Mpc1
1	53065025	53087474	-	Ccr6
1	53122322	53152866	-	Fgfr1op
1	53174879	53192048	+	Rnaset2
1	53360157	53499445	+	Rps6ka2
1	53519829	53520788	-	Gpr31
1	53531076	53554113	+	Tcp10b
1	53561218	53563032	-	Ttll2
1	53573128	53589844	-	Unc93a
1	53715693	53802658	-	Afdn
1	54062186	54063901	+	LOC103690980
1	54297868	54300583	+	LOC102551080
1	54719971	54748763	-	LOC100911027
1	54852537	54854353	-	Smok2a
1	55862061	55895636	-	Vom2r9
1	56159426	56168351	-	Dact2
1	56242346	56374120	+	Smoc2
1	56653938	56683731	-	Thbs2
1	56808450	56942556	-	Wdr27
1	56949712	56952431	+	LOC100125364
1	56951518	56967895	-	Phf10
1	56970654	56982642	-	Tcte3
1	56982821	57001665	+	Ermard
1	57318708	57327379	-	Dll1
1	57345577	57392113	+	Fam120b
1	57470632	57489727	-	Psmb1
1	57491643	57508449	+	Tbp
1	57512968	57518458	-	Pdcd2
1	57533577	57555048	-	Prdm9
1	57692836	57755485	+	Chd1
1	57796709	57815038	-	Rgmb
1	59129951	59146776	+	Riok2
1	59156251	59214452	+	Lix1
1	59297294	59347472	-	Lnpep
1	59704216	59704285	+	Mir99b
1	59704372	59704488	-	Mir3596c
1	59704827	59704911	+	Mir125a
1	59704998	59715763	+	Spaca6
1	59720612	59732409	-	Has1
1	59765835	59767042	+	Fpr1
1	59800984	59802401	-	Fpr2
1	59902308	59903339	-	Fpr-rs3
1	60044985	60045881	+	Vom1r6
1	60087495	60088406	-	Vom1r7
1	60117804	60118715	+	Vom1r8
1	60248695	60249645	+	Vom1r9
1	60280451	60281386	-	Vom1r10
1	60331979	60332899	-	Vom1r11
1	60406375	60407295	-	Vom1r12
1	60516995	60517915	-	LOC108348087
1	60633626	60634546	-	Vom1r15
1	60717386	60736609	+	Ppp2r1a
1	60827313	60828260	-	Vom1r-ps112
1	60884761	60894948	+	LOC100365363
1	61095171	61096112	+	Vom1r19
1	61132818	61133726	+	Vom1r20
1	61268248	61276755	+	LOC102552527
1	61314070	61326280	+	Zfp54
1	61382118	61426320	+	Zfp52
1	61445672	61509765	+	LOC108348215
1	61522298	61533178	+	Zfp51
1	61625441	61626454	-	Vom1r22
1	61685997	61686944	-	Vom1r23
1	62133816	62174310	+	LOC102555377
1	62555188	62558033	-	Zfp40
1	62665651	62681471	-	Vom2r15
1	62753049	62935789	+	LOC682419
1	62837021	62855146	+	Vom2r16
1	63184734	63185651	+	Vom1r110
1	63201271	63202203	+	Vom1r28
1	63245803	63246720	+	Vom1r29
1	63263722	63264582	+	Vom1r109
1	63286802	63293635	-	LOC100911224
1	63333283	63334176	+	Vom1r30
1	63534467	63571794	-	Vom2r26
1	63679769	63684189	-	Lilrc2
1	63734135	63741982	+	Lilrb2
1	63759638	64013289	+	Lilrb3a
1	64018125	64090021	-	Rps9l1
1	64024240	64030175	-	Tsen34
1	64031859	64046135	+	Mboat7l1
1	64046377	64126611	+	Tmc4
1	64074231	64081438	+	Pirb
1	64092226	64099277	-	Tsen34l1
1	64101018	64113792	+	Mboat7
1	64126882	64131814	+	Leng1
1	64130908	64147251	-	Cnot3
1	64135964	64136071	-	Mir3572
1	64150786	64162461	-	Prpf31
1	64162672	64172470	+	Tfpt
1	64172540	64175099	-	Ndufa3
1	64182422	64188658	+	Oscar
1	64241865	64254564	+	Tarm1
1	64305438	64321241	-	Cacng6
1	64330106	64350338	-	Cacng8
1	64330549	64330639	-	Mir935
1	64374603	64405149	-	Cacng7
1	64407114	64433636	-	Prkcg
1	64438472	64446818	-	Myadm
1	64480929	64481903	+	Olr1l
1	64486251	64487225	+	LOC103689958
1	64491552	64492526	+	Olr386
1	64506735	64534912	+	Nlrp12
1	64536623	64536703	-	Mir295-1
1	64536746	64536816	-	Mir294
1	64537107	64537178	-	Mir293
1	64537831	64537938	-	Mir291b
1	64538119	64538200	-	Mir292
1	64538407	64538488	-	Mir291a
1	64538705	64538785	-	Mir290
1	64618506	64632131	+	LOC292543
1	64667031	64699156	-	Vom2r27
1	64740487	64749705	+	LOC103691005
1	64849657	64975956	+	Vom2r12
1	64928503	65199263	+	Vom2r80
1	65409829	65422705	+	Vom2r19
1	65522118	65533212	+	Mzf1
1	65537640	65541177	+	Ube2m
1	65541322	65543707	+	Chmp2a
1	65544373	65551043	-	Trim28
1	65564173	65568300	+	Zbtb45
1	65576535	65587186	+	Slc27a5
1	65606520	65611815	-	Zfp324
1	65657276	65659945	-	Rnf225
1	65660470	65664767	-	Rps5
1	65677621	65681440	-	Zscan22
1	65691947	65701867	-	Zfp128
1	65742089	65756528	-	Zfp110
1	65781547	65800492	+	Zfp329
1	65906344	66159639	+	Vom2r35
1	65937952	65952790	+	Vom2r33
1	66133312	66133392	-	Mir295-2
1	66231763	66254989	-	Zfp606
1	66397676	66398629	+	Vom1r53
1	66637868	66639205	-	LOC100365062
1	66643739	66645214	-	LOC100909481
1	66663965	66664921	+	LOC108348135
1	66687478	66688422	-	Vom1r57
1	66774431	66775384	-	Vom1r52
1	66872787	66873740	-	Vom1r51
1	66959610	66970140	+	Vmn1r83
1	67025240	67026154	+	Vom1r47
1	67064847	67065797	-	Vom1r46
1	67133880	67134827	-	Vom1r45
1	67174732	67175736	-	Vom1r44
1	67205796	67206713	-	Vom1r43
1	67274428	67284864	-	LOC691661
1	67301831	67302751	-	Vom1r42
1	67340809	67351707	+	LOC100362054
1	67368384	67390141	-	LOC103690016
1	67660337	67661329	+	Vom1r40
1	67742949	67743932	+	Vom1r41
1	67819058	67853582	-	LOC108348133
1	67917477	67918469	+	LOC102551504
1	68176904	68177836	+	LOC108348164
1	68221395	68222312	+	Vom1r29
1	68239314	68240174	+	LOC100911184
1	68262389	68269117	-	Zik1
1	68436593	68488427	+	LOC108348118
1	68528976	68529893	+	Vom1r27
1	68670127	68671059	+	Vom1r63
1	69243659	69246983	-	LOC103690077
1	69285579	69287538	-	Prrg3
1	69326303	69431055	-	Nlrp4a
1	69558008	69589096	+	Vom2r28
1	69615434	69629913	+	Zfp418
1	69736684	69743616	-	Zfp772
1	69788609	69820981	+	Mfsd14a
1	69823107	69835185	-	LOC108349745
1	69841998	69846125	+	Zfp773-ps1
1	69853553	69859391	+	Zfp954
1	69866069	69879804	+	LOC102547412
1	69958452	69963592	-	Aurkc
1	69988673	70003582	-	Usp29
1	70136945	70137073	-	Mir3099
1	70222964	70237443	+	Peg3
1	70234160	70235091	-	Apeg3
1	70253650	70266809	+	Zim1
1	70437776	70438729	+	Olr3
1	70454322	70465855	+	Olr4
1	70480941	70481879	+	Olr6
1	70484947	70485888	-	Olr7
1	70495403	70496347	-	Olr8
1	71115043	71135764	-	Smim17
1	71167156	71173216	-	Zfp28
1	71183171	71190423	-	Zfp78
1	71251258	71262421	+	Zfp583
1	71270107	71290337	-	Zfp667
1	71335129	71342633	-	Zscan5b
1	71352419	71373605	-	Galp
1	71379559	71400388	-	Zfp444
1	71416110	71447195	+	Zfp787
1	71453798	71486790	-	Nlrp5
1	71606503	71630403	+	Vom2r71
1	71671575	71710420	-	Nlrp4
1	71785714	71787211	+	Obox2
1	71844368	71845285	+	Vom1r32
1	71859390	71909138	-	Nlrp9
1	71954729	71955646	-	Vom1r34
1	72128355	72129269	-	Vom1r35
1	72183354	72184265	-	Vom1r36
1	72210037	72210999	+	Vom1r37
1	72230038	72230961	+	Vom1r38
1	72272032	72273210	+	Rasl2-9
1	72280117	72286576	+	Rfpl4a
1	72294153	72311856	-	Epn1
1	72312727	72329856	-	U2af2
1	72331491	72335855	-	Ccdc106
1	72338877	72339395	-	Zfp580
1	72356880	72361358	+	Zfp865
1	72363276	72366455	-	LOC100911196
1	72376386	72377434	-	Zfp524
1	72380711	72387301	+	Fiz1
1	72399157	72402327	+	Zfp579
1	72420352	72422974	+	Sbk3
1	72425707	72433488	+	Sbk2
1	72443758	72461547	-	Ssc5d
1	72462405	72464492	-	Nat14
1	72465341	72468738	-	Zfp628
1	72491780	72509431	-	LOC684270
1	72524569	72545329	+	Isoc2b
1	72545596	72564513	+	Shisa7
1	72580424	72584482	+	Ube2s
1	72619282	72621519	-	Rpl28
1	72630238	72632185	-	Tmem190
1	72635267	72643255	+	Il11
1	72644333	72661000	+	Fam71e2
1	72661211	72662434	+	Cox6b2
1	72666665	72674271	-	Kmt5c
1	72692105	72701593	+	Tmem150b
1	72701610	72727112	-	Brsk1
1	72732668	72756082	+	Hspbp1
1	72756809	72784482	+	Ppp6r1
1	72784966	72787367	+	Tmem86b
1	72810545	72859161	+	Ptprh
1	72860218	72867930	+	Syt5
1	72874404	72883002	+	Dnaaf3
1	72882806	72886488	+	Tnni3
1	72889270	72899659	+	Tnnt1
1	72903257	72926108	+	Ppp1r12c
1	72927151	72941869	-	Eps8l1
1	72956026	72984350	+	Rdh13
1	73040901	73064641	+	Gp6
1	73082977	73121085	-	Nlrp2
1	73179013	73226777	-	Ncr1
1	73230390	73264302	-	Fcar
1	73307569	73344955	-	Kir3dl1
1	73393850	73399579	-	Lilrb4
1	73610149	73619356	-	Lilrb3
1	73656028	73682247	-	Lilra5
1	73719005	73719529	+	Cdc42ep5
1	73721114	73722631	+	Leng9
1	73722088	73733788	-	Leng8
1	73734624	73753128	-	Ttyh1
1	73837944	73868695	+	Lair1
1	73929674	73961432	-	Nlrp4b
1	74155828	74181323	-	LOC100912013
1	74251167	74272053	+	Vom2r29
1	74975364	75001206	+	Vom2r31
1	75131348	75132169	+	Vom1r58
1	75166116	75167063	+	Vom1r59
1	75194565	75195678	+	Vom1r60
1	75233703	75264293	+	LOC100911727
1	75298364	75299317	+	Vom1r61
1	75326217	75327164	+	Vom1r62
1	75335894	75354820	-	Zswim9
1	75356220	75394758	+	Lig1
1	75428027	75620911	+	Pla2g4c
1	75693232	75706069	+	Cabp5
1	75748916	75789785	+	Bsph1
1	76252329	76780230	-	Sult2a2
1	77533148	77535681	-	Selenow
1	77541359	77541814	+	LOC103690015
1	77745288	77750960	-	Crx
1	77803475	77808513	-	LOC103689961
1	77829711	77830399	-	LOC100364457
1	77836196	77844189	-	Nop53
1	77847600	77865870	-	Ehd2
1	77869020	77893509	-	Bicra
1	77967755	77992027	+	Zfp541
1	77994203	78012845	+	Napa
1	78015722	78023676	+	Kptn
1	78025995	78060111	+	Slc8a2
1	78068931	78079862	+	Meis3
1	78090044	78112488	-	Dhx34
1	78166810	78180216	-	C5ar2
1	78186776	78195328	-	C5ar1
1	78210867	78212350	-	Inafm1
1	78213223	78224319	-	Ccdc9
1	78277515	78333321	-	Sae1
1	78354934	78390907	+	Zc3h4
1	78417719	78420427	+	Tmem160
1	78420652	78440738	-	Npas1
1	78456409	78573374	-	Arhgap35
1	78546012	78546218	+	Gng5
1	78622590	78626284	-	LOC108349752
1	78659435	78663970	+	Ceacam9
1	78671121	78682871	+	Ap2s1
1	78710539	78724794	+	Slc1a5
1	78733508	78739107	-	Fkrp
1	78735678	78765692	+	Strn4
1	78767911	78796231	+	Prkd2
1	78800754	78812483	+	Dact3
1	78818404	78822224	+	Gng8
1	78833157	78837623	+	Ptgir
1	78843080	78851719	-	Calm3
1	78876205	78878779	+	Pnma8b
1	78893271	78895930	+	Pnma8a
1	78933372	78936700	+	Ccdc8
1	78944040	78968329	-	Ppp5c
1	78976318	78997869	-	Hif3a
1	79030291	79080881	+	Cgm4
1	79122608	79135310	+	Ceacam3
1	79181855	79190738	+	Psgb1
1	79236392	79259492	-	Psg29
1	79324274	79358184	+	LOC102557244
1	79396578	79402814	+	Ceacam11
1	79474809	79481865	+	Ceacam12
1	79631668	79657941	+	Mill1
1	79680194	79708835	-	Psg19
1	79754587	79772092	+	Micb
1	79790705	79796111	+	Pglyrp1
1	79795375	79816450	-	Ccdc61
1	79831534	79865807	+	Nova2
1	79894450	79895910	+	Nanos2
1	79898551	79911513	+	Mypop
1	79911516	79914217	+	Irf2bp1
1	79920752	79930263	-	Foxa3
1	79931156	79959461	+	Sympk
1	79959591	79979205	+	Rsph6a
1	79981355	79987562	+	Dmwd
1	79989019	79999364	+	Dmpk
1	80000165	80003232	+	Six5
1	80028928	80045341	+	Fbxo46
1	80047504	80056574	-	Qpctl
1	80056755	80059996	+	Snrpd2
1	80063049	80073223	-	Gipr
1	80087684	80119012	+	Eml2
1	80092681	80092777	+	Mir330
1	80135391	80136880	+	Gpr4
1	80141630	80160145	+	Opa3
1	80170619	80185882	-	Vasp
1	80195532	80208448	+	Rtn2
1	80214494	80221710	-	Fosb
1	80256973	80268198	+	Ercc1
1	80267725	80271001	-	Cd3eap
1	80279706	80290408	+	Ppp1r13l
1	80293566	80307344	+	Ercc2
1	80298686	80298778	+	Mir343
1	80306102	80315533	-	Klc3
1	80321585	80331841	+	Ckm
1	80335526	80367328	-	Mark4
1	80383050	80404290	+	Exoc3l2
1	80415686	80416273	-	Bloc1s3
1	80417310	80424445	+	Trappc6a
1	80426918	80432875	+	Nkpd1
1	80439718	80471527	-	Ppp1r37
1	80473966	80483487	-	Gemin7
1	80487938	80491039	+	Zfp296
1	80491480	80515694	-	Clasrp
1	80517411	80544825	-	Relb
1	80549043	80580662	-	Clptm1
1	80589023	80594136	-	Apoc2
1	80595326	80599572	-	Apoc4
1	80606638	80609921	-	NEWGENE_2134
1	80612895	80617057	-	Apoe
1	80618154	80630038	-	Tomm40
1	80631450	80666585	-	Nectin2
1	80674444	80689171	-	Bcam
1	80699323	80716146	-	Cblc
1	80730499	80744831	-	Bcl3
1	80773819	80783898	-	Ceacam16
1	80800951	80809769	-	Ceacam19
1	80820050	80835701	-	PVR
1	80852528	80864846	-	Igsf23
1	80880856	80912082	+	Ceacam20
1	80920747	80940040	+	Zfp180
1	80953275	80958908	+	Zfp112
1	81035972	81043340	-	Zfp111
1	81122790	81152384	-	Zfp61
1	81159107	81163689	-	LOC102548695
1	81192869	81193729	-	Tescl
1	81208212	81213937	+	Lypd5
1	81230612	81245996	+	Kcnn4
1	81260548	81282887	+	Smg9
1	81291765	81295442	-	Irgc
1	81328183	81344708	+	Plaur
1	81365138	81370109	+	Cadm4
1	81372650	81382079	+	Zfp428
1	81395841	81399672	+	Irgq
1	81406576	81412251	-	Pinlyp
1	81413353	81441678	+	Xrcc1
1	81447987	81450094	-	Zfp575
1	81456984	81472097	+	Ethe1
1	81474553	81492631	+	Phldb3
1	81499821	81504318	+	Lypd3
1	81529781	81534140	-	Tex101
1	81548892	81550598	-	LOC100910565
1	81579736	81582447	+	LOC100910611
1	81609433	81627710	-	LOC100909700
1	81643816	81650094	+	LOC103689942
1	81683463	81701317	+	Ceacam6
1	81728552	81733957	-	Lypd4
1	81736335	81741345	+	LOC100910371
1	81750928	81756627	+	Rps19
1	81779380	81797236	+	Arhgef1
1	81843649	81846804	-	Rabac1
1	81852429	81881549	-	Atp1a3
1	81885521	81946714	-	Grik5
1	81952067	81957329	+	Zfp574
1	81964104	82004538	-	Pou2f2
1	82072544	82088275	-	Dedd2
1	82089922	82097526	+	Zfp526
1	82097247	82108203	-	Gsk3a
1	82112449	82120902	-	Erf
1	82151669	82163005	+	Cic
1	82163595	82166363	-	Pafah1b3
1	82169620	82172636	+	Prr19
1	82174451	82184068	+	Tmem145
1	82185034	82234045	+	Megf8
1	82234032	82236179	-	Cnfn
1	82248046	82266727	-	Lipe
1	82267381	82279145	-	Cxcl17
1	82327955	82344345	-	Ceacam1
1	82407899	82409639	-	Erich4
1	82413037	82419131	+	Dmac2
1	82419947	82422846	+	B3gnt8
1	82423277	82452281	-	Bckdha
1	82452469	82461606	+	Exosc5
1	82464024	82468064	-	Tmem91
1	82473737	82479900	+	B9d2
1	82480195	82497199	+	Tgfb1
1	82503571	82511327	-	Ccdc97
1	82512745	82546937	-	Hnrnpul1
1	82549420	82580761	-	Axl
1	82595211	82610350	-	Cyp2s1
1	82652916	82653633	-	LOC100359930
1	82816984	82819695	+	LOC100910953
1	82831952	82918444	-	LOC100909620
1	82964683	82987253	-	Cd177
1	83003841	83010171	+	Ceacam4
1	83043490	83061477	+	LOC103689938
1	83103925	83119193	+	Cyp2b2
1	83163079	83236615	+	Cyp2b3
1	83289743	83315317	+	LOC103691092
1	83389788	83418777	-	Cyp2b21
1	83511167	83584589	+	Cyp2b12
1	83626639	83637780	+	Cyp2g1
1	83653234	83766484	+	Cyp2a3
1	83933942	83947821	+	Cyp2f4
1	83965608	83969559	+	Cyp2t1
1	83969457	83977236	-	Egln2
1	83979298	83990588	-	Rab4b
1	83991578	83993270	-	Mia
1	83999671	84008293	-	Snrpa
1	84018859	84040433	-	Itpkc
1	84044551	84067066	+	Coq8b
1	84067938	84091671	+	Numbl
1	84118046	84150084	-	Ltbp4
1	84154703	84168074	-	Shkbp1
1	84168495	84254645	-	Sptbn4
1	84256159	84274075	+	Blvrb
1	84280945	84284663	+	Sertad3
1	84293102	84296367	+	Sertad1
1	84304228	84324560	+	Prx
1	84328114	84338483	+	Hipk4
1	84339261	84353725	-	Pld3
1	84411726	84450162	+	Akt2
1	84470829	84473011	+	Ttc9b
1	84473071	84491466	-	Map3k10
1	84530669	84543966	+	LOC100909824
1	84879973	84894805	-	Zfp780b-ps1
1	84978206	84986581	-	Psmc4
1	85003280	85046840	+	Fcgbp
1	85058548	85096346	+	Fcgbpl1
1	85103519	85112619	+	Fbl
1	85112247	85120839	+	Dyrk1b
1	85143789	85153210	+	Acp7
1	85162452	85201757	+	Pak4
1	85213652	85217258	+	Nccrp1
1	85218803	85220237	-	Sycn
1	85236243	85237775	-	Ifnl3
1	85252103	85253635	+	Ifnl1
1	85291462	85300825	-	Lrfn1
1	85312528	85317968	-	Gmfg
1	85324043	85362241	+	Samd4b
1	85362268	85368031	-	Paf1
1	85368288	85373099	+	Med29
1	85380088	85382569	+	Zfp36
1	85386470	85399699	+	Plekhg2
1	85405512	85408444	-	Rps16
1	85437780	85466854	+	Supt5h
1	85470831	85480407	+	Timm50
1	85485289	85493685	+	Dll3
1	85496937	85504190	+	Selenov
1	85509662	85510114	-	Eid2b
1	85516653	85517360	-	Eid2
1	86073435	86074406	+	Fpr-rs4
1	86103298	86149320	+	Vom2r10
1	86262518	86263534	-	Fpr-rs6
1	86362432	86363340	+	Vom1r2
1	86429262	86430158	+	Vom1r3
1	86533127	86534023	+	Vom1r4
1	86604426	86749728	-	Vom2r11
1	86914137	86919236	+	Fbxo17
1	86920680	86923575	-	Mrps12
1	86923591	86935904	+	Sars2
1	86938138	86940780	+	Ccer2
1	86941074	86948845	-	Nfkbib
1	86948918	86971952	+	Sirt2
1	86972244	86983514	+	Rinl
1	86996093	87006776	+	Hnrnpl
1	87009730	87016005	+	Ech1
1	87019975	87027691	+	Lgals4
1	87045335	87047223	+	Lgals7
1	87066289	87078348	+	Capn12
1	87078020	87147333	-	Actn4
1	87166109	87174821	-	LOC100909725
1	87180624	87191185	+	LOC103689986
1	87190381	87191588	-	LOC103690068
1	87199313	87221892	-	Spint2
1	87224677	87232848	+	Ppp1r14a
1	87248489	87258070	+	Dpf1
